コマンド名,ID,filename
コマンド名,ID,String
Snapshot,011,QR1_1
Snapshot,012,QR1_2
Snapshot,013,QR1_3
Snapshot,014,QR1_4
Snapshot,015,QR1_5
Snapshot,021,QR2_1
Snapshot,022,QR2_2
Snapshot,023,QR2_3
Snapshot,024,QR2_4
Snapshot,025,QR2_5
Snapshot,clearBuffer1,dummy1
Snapshot,clearBuffer2,dummy2
Snapshot,clearBuffer3,dummy3
Snapshot,clearBuffer4,dummy4
Snapshot,clearBuffer5,dummy5
Snapshot,clearBuffer6,dummy6
Snapshot,clearBuffer7,dummy7
Snapshot,clearBuffer8,dummy8
Snapshot,clearBuffer9,dummy9
Snapshot,clearBuffer10,dummy10
